Campaign report
"February 1, 2026 - May 21, 2026"
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Bid strategy type,Goals,Cost,Conversions,Phone calls,All conv.,Cost / conv.,Conv. value,CTR,Clicks,Impr.,Target CPA,Conv. rate,Avg. CPM,Avg. CPC,Search impr. share,Search lost IS (budget),Search lost abs. top IS (budget),Search lost top IS (budget),Search lost IS (rank),Optimization score,New customers,Conv. value / cost,Viewable CTR,Avg. viewable CPM,Viewable impr.,Original conv. value
April 2026,Total: Account,,,,,USD,,,,,,7139.08,547.53,586,"2,210.67",13.04,800.11,5.98%,"2,390","39,938",,22.54%,178.75,2.99,21.16%,15.15%,,11.04%,63.69%,,0.00,0.11, --,0,0,800.11
February 2026,Total: Account,,,,,USD,,,,,,6283.98,458.85,530,"1,353.53",13.70,737.19,7.32%,"1,782","24,339",,22.94%,258.19,3.53,28.95%,14.47%,,10.06%,56.58%,,0.00,0.12, --,0,0,737.19
March 2026,Total: Account,,,,,USD,,,,,,7402.53,643.56,665,"2,220.83",11.50,918.90,6.74%,"2,353","34,925",,21.67%,211.95,3.15,20.92%,16.04%,,16.02%,63.04%,,0.00,0.12, --,0,0,918.90
May 2026,Total: Account,,,,,USD,,,,,,5123.19,389.70,405,"1,209.35",13.15,558.72,5.62%,"1,579","28,114",,24.36%,182.23,3.24,27.28%,14.00%,,8.66%,58.72%,,0.00,0.11, --,0,0,558.72
,Total: Demand Gen,,,,,USD,,,Demand Gen,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
,Total: Shopping,,,,,USD,,,Shopping,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
,Total: Performance Max,,,,,USD,,,Performance Max,,,4367.20,666.08,740,"2,671.25",6.56,"1,012.23",4.76%,"3,018","63,369",,17.02%,68.92,1.45,13.77%,17.37%,, --,68.85%,,0.00,0.23, --,0,0,"1,012.23"
,Total: Display,,,,,USD,,,Display,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
,Total: Local,,,,,USD,,,Local,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
,Total: Search,,,,,USD,,,Search,,,21581.57,"1,373.56","1,446","4,323.12",15.71,"2,002.70",7.95%,"5,086","63,947",,27.01%,337.49,4.24,39.24%,11.48%,,11.79%,49.28%,,0.00,0.09, --,0,0,"2,002.70"
,Total: Video,,,,,USD,,,Video,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Search,,,,,USD,,,Search,,,5748.74,338.10,339,"1,226.70",17.00,498.64,7.82%,"1,315","16,824",,25.71%,341.70,4.37,39.87%,10.75%,,11.04%,49.38%,,0.00,0.09, --,0,0,498.64
March 2026,Total: Local,,,,,USD,,,Local,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
February 2026,Total: Shopping,,,,,USD,,,Shopping,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
May 2026,Total: Display,,,,,USD,,,Display,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Performance Max,,,,,USD,,,Performance Max,,,1390.34,209.42,247,983.97,6.64,301.47,4.65%,"1,075","23,114",,18.80%,60.15,1.29,13.05%,17.06%,, --,69.89%,,0.00,0.22, --,0,0,301.47
February 2026,Total: Demand Gen,,,,,USD,,,Demand Gen,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Display,,,,,USD,,,Display,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
May 2026,Total: Local,,,,,USD,,,Local,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Shopping,,,,,USD,,,Shopping,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Local,,,,,USD,,,Local,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Video,,,,,USD,,,Video,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
May 2026,Total: Shopping,,,,,USD,,,Shopping,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
February 2026,Total: Performance Max,,,,,USD,,,Performance Max,,,458.14,61.47,63,202.37,7.45,115.41,5.28%,272,"5,154",,12.55%,88.89,1.68,12.30%,23.51%,, --,64.19%,,0.00,0.25, --,0,0,115.41
May 2026,Total: Video,,,,,USD,,,Video,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
May 2026,Total: Demand Gen,,,,,USD,,,Demand Gen,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
March 2026,Total: Performance Max,,,,,USD,,,Performance Max,,,1377.57,235.75,256,891.25,5.84,366.02,5.15%,957,"18,577",,14.98%,74.15,1.44,12.72%,16.32%,, --,70.95%,,0.00,0.27, --,0,0,366.02
March 2026,Total: Display,,,,,USD,,,Display,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
March 2026,Total: Shopping,,,,,USD,,,Shopping,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
February 2026,Total: Search,,,,,USD,,,Search,,,5825.84,397.38,467,"1,151.16",14.66,621.77,7.87%,"1,510","19,185",,26.32%,303.67,3.86,37.39%,9.89%,,10.06%,52.72%,,0.00,0.11, --,0,0,621.77
February 2026,Total: Local,,,,,USD,,,Local,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
March 2026,Total: Search,,,,,USD,,,Search,,,6024.95,407.82,409,"1,329.58",14.77,552.89,8.54%,"1,396","16,348",,29.21%,368.54,4.32,36.87%,15.49%,,16.02%,47.64%,,0.00,0.09, --,0,0,552.89
February 2026,Total: Display,,,,,USD,,,Display,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
March 2026,Total: Video,,,,,USD,,,Video,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
May 2026,Total: Performance Max,,,,,USD,,,Performance Max,,,1141.15,159.43,174,593.67,7.16,229.33,4.32%,714,"16,524",,21.69%,69.06,1.60,17.93%,16.65%,, --,65.42%,,0.00,0.20, --,0,0,229.33
May 2026,Total: Search,,,,,USD,,,Search,,,3982.04,230.27,231,615.68,17.29,329.40,7.46%,865,"11,590",,26.62%,343.58,4.60,46.81%,8.46%,,8.66%,44.73%,,0.00,0.08, --,0,0,329.40
February 2026,Total: Video,,,,,USD,,,Video,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
March 2026,Total: Demand Gen,,,,,USD,,,Demand Gen,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
April 2026,Total: Demand Gen,,,,,USD,,,Demand Gen,,,0.00,0.00,0,0.00,0.00,0.00, --,0,0,,0.00%,0,0, --, --,, --, --,,0.00,0.00, --,0,0,0.00
