"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Results,"Result indicator","Cost per results",Leads,"Cost per lead (USD)",actions:click_to_call_native_call_placed,Contacts,"Cost per contact (USD)"
2026-05-26,2026-05-26,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,7.85,3940,3940,3940,reach,1.99238579,,,,,
2026-05-25,2026-05-25,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,3.8,139,178,,,,,,,,
2026-05-25,2026-05-25,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,5.82,240,277,,,,,,,,
2026-05-25,2026-05-25,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,5.04,152,234,,,,,,,,
2026-05-25,2026-05-25,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,12.62,411,552,,,,,,,,
2026-05-25,2026-05-25,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,21.88,625,840,,,,,,,,
2026-05-25,2026-05-25,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,10.09,307,538,,,,,,,,
2026-05-25,2026-05-25,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-25,2026-05-25,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,8.15,3558,3594,3558,reach,2.2906127,,,,,
2026-05-24,2026-05-24,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,4.33,148,175,,,,,,,,
2026-05-24,2026-05-24,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,6.41,201,237,,,,,,,,
2026-05-24,2026-05-24,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,4.04,149,213,,,,,,,,
2026-05-24,2026-05-24,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,13.58,379,496,,,,,,,,
2026-05-24,2026-05-24,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,21.45,683,899,,,,,,,,
2026-05-24,2026-05-24,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,11.13,420,743,,,,,,,,
2026-05-24,2026-05-24,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-24,2026-05-24,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,5.03,2415,2415,2415,reach,2.08281573,,,,,
2026-05-23,2026-05-23,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,0.74,58,64,,,,,,,,
2026-05-23,2026-05-23,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,2.85,218,241,,,,,,,,
2026-05-23,2026-05-23,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,2.16,101,170,,,,,,,,
2026-05-23,2026-05-23,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,9.98,579,822,,,,,,,,
2026-05-23,2026-05-23,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,10.56,471,613,,,,,,,,
2026-05-23,2026-05-23,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,8.38,593,763,,,,,,,,
2026-05-23,2026-05-23,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-23,2026-05-23,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,4.26,2032,2032,2032,reach,2.09645669,,,,,
2026-05-22,2026-05-22,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,1.76,79,86,,,,,,,,
2026-05-22,2026-05-22,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,3.98,283,314,,,,,,,,
2026-05-22,2026-05-22,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,3.1,144,226,,,,,,,,
2026-05-22,2026-05-22,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,11.42,601,880,,,,,,,,
2026-05-22,2026-05-22,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,15.59,546,700,,,,1,15.59,,,
2026-05-22,2026-05-22,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,8.5,440,598,1,actions:click_to_call_native_call_placed,8.5,,,1,,
2026-05-22,2026-05-22,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-22,2026-05-22,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,6.81,4311,4311,4311,reach,1.57967989,,,,,
2026-05-21,2026-05-21,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,3.05,145,162,,,,,,,,
2026-05-21,2026-05-21,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,4.71,321,352,,,,,,,,
2026-05-21,2026-05-21,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,3.69,149,281,,,,,,,,
2026-05-21,2026-05-21,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,12.06,665,925,,,,,,,,
2026-05-21,2026-05-21,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,17.15,577,799,,,,,,,,
2026-05-21,2026-05-21,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,9.21,492,614,,,,,,,,
2026-05-21,2026-05-21,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-21,2026-05-21,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,5.15,2610,2641,2610,reach,1.97318008,,,,,
2026-05-20,2026-05-20,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,3.39,131,155,,,,,,,,
2026-05-20,2026-05-20,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,5.6,263,308,,,,,,,,
2026-05-20,2026-05-20,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,3.91,161,272,,,,2,1.955,,,
2026-05-20,2026-05-20,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,11.17,620,854,,,,,,,,
2026-05-20,2026-05-20,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,17.5,612,816,,,,,,,,
2026-05-20,2026-05-20,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,10.12,511,669,,,,,,,,
2026-05-20,2026-05-20,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-20,2026-05-20,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
