"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Results,"Result indicator","Cost per results",Leads,"Cost per lead (USD)",actions:click_to_call_native_call_placed,Contacts,"Cost per contact (USD)"
2026-05-27,2026-05-27,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,0.39,199,217,199,reach,1.95979899,,,,,
2026-05-27,2026-05-27,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,2.91,76,84,,,,,,,,
2026-05-27,2026-05-27,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,3.74,108,112,,,,,,,,
2026-05-27,2026-05-27,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,1.28,58,91,,,,1,1.28,,,
2026-05-27,2026-05-27,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,5.38,280,358,,,,,,,,
2026-05-27,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,8.53,326,397,,,,,,,,
2026-05-27,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,2.31,122,138,,,,,,,,
2026-05-27,2026-05-27,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""Our state-of-the-art, award-winning full service...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""In case you missed our February birthday...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""What our happy customers are saying!""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""Some good tips in here for keeping your dog safe...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""January is #NationalTrainYourDogMonth
Our...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""Oh come on!  How cute is this?   
People UPS""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Post: ""Do you believe in the human-animal bond AND have...""",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Optimize for Lead Generation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-27,2026-05-27,"Doggie Daycare 201707",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"TOF | Creative T | FREE Dog Training Evaluation",inactive,10,Daily,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET  | Awareness_Broad | CBO | Calls | Social Events",active,"Using ad set budget",0,6.22,3019,3109,3019,reach,2.06028486,,,,,
2026-05-26,2026-05-26,"Lead Campaign",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET | MOFU | Lead | ABO | Training + Boarding",active,"Using ad set budget",0,4.54,165,189,,,,,,,,
2026-05-26,2026-05-26,"Dog Training Fall 2017",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET | TOFU | Lead | ABO | Boarding",active,"Using ad set budget",0,4.89,180,202,,,,,,,,
2026-05-26,2026-05-26,cou,inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET | MOFU | Contact | ABO | Training + Boarding",active,"Using ad set budget",0,4.98,188,361,,,,1,4.98,,,
2026-05-26,2026-05-26,"ET | TOFU | Contact | ABO | Boarding",active,"Using ad set budget",0,13.09,596,830,,,,1,13.09,,,
2026-05-26,2026-05-26,"ET | TOFU | Lead/Contact | ABO | Training",active,"Using ad set budget",0,17.57,580,864,,,,,,,,
2026-05-26,2026-05-26,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",active,"Using ad set budget",0,9.04,356,512,,,,,,,,
2026-05-26,2026-05-26,"New Sales Campaign",inactive,25,Daily,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Training Campaign October",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"TOF | Winners | FREE Dog Training Evaluation",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"DogiZone - Traffic - Jobs",inactive,"Using ad set budget",0,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Engagement - DogiZone",inactive,7.66,Daily,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Traffic - DogiZone",inactive,8.33,Daily,0,0,0,,,,,,,,
2026-05-26,2026-05-26,"Brand - DogiZone",inactive,4,Daily,0,0,0,,,,,,,,
